status,latitude,longitude,evse_id
AVAILABLE,45.3894898,11.7919563,IT*2ZG*ESCAME104*1
AVAILABLE,45.3894898,11.7919563,IT*2ZG*ESCAME104*2
AVAILABLE,42.4641801,11.2418163,IT*2ZG*ESCAME106*1
AVAILABLE,42.4641801,11.2418163,IT*2ZG*ESCAME106*2
AVAILABLE,42.4641801,11.2418163,IT*2ZG*ESCAME106*3
AVAILABLE,42.4641801,11.2418163,IT*2ZG*ESCAME106*4
AVAILABLE,45.90038,12.12686,IT*2ZG*ESCAME108*1
AVAILABLE,45.90038,12.12686,IT*2ZG*ESCAME108*2
AVAILABLE,45.4027323,10.2775888,IT*2ZG*ESCAME114*1
AVAILABLE,45.4027323,10.2775888,IT*2ZG*ESCAME114*2
AVAILABLE,45.3965434,10.2693831,IT*2ZG*ESCAME115*1
AVAILABLE,45.3965434,10.2693831,IT*2ZG*ESCAME115*2
AVAILABLE,45.925052,12.37196,IT*2ZG*ESCAME118*1
AVAILABLE,45.925052,12.37196,IT*2ZG*ESCAME118*2
AVAILABLE,45.6925192,9.6141811,IT*2ZG*ESCAME121*1
AVAILABLE,45.6925192,9.6141811,IT*2ZG*ESCAME121*2
AVAILABLE,45.6558606,12.2060447,IT*2ZG*ESCAME122*1
AVAILABLE,45.6558606,12.2060447,IT*2ZG*ESCAME122*2
AVAILABLE,45.6558606,12.2060447,IT*2ZG*ESCAME122*3
AVAILABLE,45.6558606,12.2060447,IT*2ZG*ESCAME122*4
AVAILABLE,45.6558606,12.2060447,IT*2ZG*ESCAME122*5
AVAILABLE,45.6558606,12.2060447,IT*2ZG*ESCAME122*6
AVAILABLE,45.931462,12.423771,IT*2ZG*ESCAME126*1
AVAILABLE,45.931462,12.423771,IT*2ZG*ESCAME126*2
AVAILABLE,45.6116191,9.0315727,IT*2ZG*ESCAME127*1
AVAILABLE,45.6116191,9.0315727,IT*2ZG*ESCAME127*2
AVAILABLE,41.7139134,12.6257941,IT*2ZG*ESCAME129*1
AVAILABLE,41.7139134,12.6257941,IT*2ZG*ESCAME129*2
AVAILABLE,45.6416064,10.0132661,IT*2ZG*ESCAME130*1
AVAILABLE,45.6416064,10.0132661,IT*2ZG*ESCAME130*2
AVAILABLE,45.6416064,10.0132661,IT*2ZG*ESCAME130*3
AVAILABLE,45.6416064,10.0132661,IT*2ZG*ESCAME130*4
AVAILABLE,45.3451857,11.8756319,IT*2ZG*ESCAME133*1
AVAILABLE,45.3451857,11.8756319,IT*2ZG*ESCAME133*2
AVAILABLE,45.3451857,11.8756319,IT*2ZG*ESCAME133*3
AVAILABLE,45.3451857,11.8756319,IT*2ZG*ESCAME133*4
AVAILABLE,45.5018734,9.2274578,IT*2ZG*ESCAME136*1
AVAILABLE,45.5018734,9.2274578,IT*2ZG*ESCAME136*2
AVAILABLE,45.5018734,9.2274578,IT*2ZG*ESCAME136*3
AVAILABLE,45.5018734,9.2274578,IT*2ZG*ESCAME136*4
AVAILABLE,45.6476701,11.8257578,IT*2ZG*ESCAME145*1
AVAILABLE,45.6476701,11.8257578,IT*2ZG*ESCAME145*2
AVAILABLE,40.7356359,13.9412402,IT*2ZG*ESCAME153*1
AVAILABLE,40.7356359,13.9412402,IT*2ZG*ESCAME153*2
AVAILABLE,45.1524749,10.7693471,IT*2ZG*ESCAME154*1
AVAILABLE,45.1524749,10.7693471,IT*2ZG*ESCAME154*2
AVAILABLE,45.4828656,11.3771366,IT*2ZG*ESCAME159*1
AVAILABLE,45.4828656,11.3771366,IT*2ZG*ESCAME159*2
AVAILABLE,45.8973803,11.9893597,IT*2ZG*ESCAME164*1
AVAILABLE,45.8973803,11.9893597,IT*2ZG*ESCAME164*2
AVAILABLE,45.8973803,11.9893597,IT*2ZG*ESCAME164*3
AVAILABLE,45.8973803,11.9893597,IT*2ZG*ESCAME164*4
AVAILABLE,45.8973803,11.9893597,IT*2ZG*ESCAME164*5
AVAILABLE,45.8973803,11.9893597,IT*2ZG*ESCAME164*6
AVAILABLE,45.873859,9.970193,IT*2ZG*ESCAME165*1
AVAILABLE,45.873859,9.970193,IT*2ZG*ESCAME165*2
AVAILABLE,45.6929242,12.2603608,IT*2ZG*ESCAME166*1
AVAILABLE,45.6929242,12.2603608,IT*2ZG*ESCAME166*2
AVAILABLE,38.25819,15.60171,IT*2ZG*ESCAME167*1
AVAILABLE,38.25819,15.60171,IT*2ZG*ESCAME167*2
AVAILABLE,38.25819,15.60171,IT*2ZG*ESCAME167*3
AVAILABLE,38.25819,15.60171,IT*2ZG*ESCAME167*4
AVAILABLE,38.25819,15.60171,IT*2ZG*ESCAME167*5
AVAILABLE,38.25819,15.60171,IT*2ZG*ESCAME167*6
AVAILABLE,45.98377,12.21519,IT*2ZG*ESCAME173*1
AVAILABLE,45.98377,12.21519,IT*2ZG*ESCAME173*2
AVAILABLE,45.99707,12.25232,IT*2ZG*ESCAME174*1
AVAILABLE,45.99707,12.25232,IT*2ZG*ESCAME174*2
AVAILABLE,43.4763562,11.1363022,IT*2ZG*ESCAME176*1
AVAILABLE,43.4763562,11.1363022,IT*2ZG*ESCAME176*2
AVAILABLE,45.0719344,10.4373002,IT*2ZG*ESCAME178*1
AVAILABLE,45.0719344,10.4373002,IT*2ZG*ESCAME178*2
AVAILABLE,41.9687079,12.7105688,IT*2ZG*ESCAME179*1
AVAILABLE,41.9687079,12.7105688,IT*2ZG*ESCAME179*2
AVAILABLE,41.9687079,12.7105688,IT*2ZG*ESCAME179*3
AVAILABLE,41.9687079,12.7105688,IT*2ZG*ESCAME179*4
AVAILABLE,45.78079,12.069987,IT*2ZG*ESCAME183*1
AVAILABLE,45.78079,12.069987,IT*2ZG*ESCAME183*2
AVAILABLE,45.4893115,12.2441628,IT*2ZG*ESCAME184*1
AVAILABLE,45.4893115,12.2441628,IT*2ZG*ESCAME184*2
AVAILABLE,45.4893115,12.2441628,IT*2ZG*ESCAME184*3
AVAILABLE,45.4893115,12.2441628,IT*2ZG*ESCAME184*4
AVAILABLE,45.4893115,12.2441628,IT*2ZG*ESCAME184*5
AVAILABLE,45.4893115,12.2441628,IT*2ZG*ESCAME184*6
AVAILABLE,45.857465,9.1151954,IT*2ZG*ESCAME187*1
AVAILABLE,45.857465,9.1151954,IT*2ZG*ESCAME187*2
AVAILABLE,45.5270684,10.8174325,IT*2ZG*ESCAME188*1
AVAILABLE,45.5270684,10.8174325,IT*2ZG*ESCAME188*2
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*1
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*2
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*3
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*4
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*5
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*6
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*7
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*8
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*9
AVAILABLE,45.3610269,11.8121394,IT*2ZG*ESCAME193*10
AVAILABLE,45.547476,11.5153689,IT*2ZG*ESCAME194*1
AVAILABLE,45.547476,11.5153689,IT*2ZG*ESCAME194*2
AVAILABLE,45.547476,11.5153689,IT*2ZG*ESCAME194*3
AVAILABLE,45.547476,11.5153689,IT*2ZG*ESCAME194*4
AVAILABLE,44.484308,11.2690111,IT*2ZG*ESCAME195*1
AVAILABLE,44.484308,11.2690111,IT*2ZG*ESCAME195*2
AVAILABLE,44.484308,11.2690111,IT*2ZG*ESCAME195*3
AVAILABLE,44.484308,11.2690111,IT*2ZG*ESCAME195*4
AVAILABLE,44.484308,11.2690111,IT*2ZG*ESCAME195*5
AVAILABLE,44.484308,11.2690111,IT*2ZG*ESCAME195*6
AVAILABLE,45.0773074,10.3746363,IT*2ZG*ESCAME199*1
AVAILABLE,45.0773074,10.3746363,IT*2ZG*ESCAME199*2
AVAILABLE,40.1208969,18.4295855,IT*2ZG*ESCAME209*1
AVAILABLE,40.1208969,18.4295855,IT*2ZG*ESCAME209*2
AVAILABLE,40.1208969,18.4295855,IT*2ZG*ESCAME209*3
AVAILABLE,40.1208969,18.4295855,IT*2ZG*ESCAME209*4
AVAILABLE,45.5653345,12.300506,IT*2ZG*ESCAME210*1
AVAILABLE,45.5919925,12.0438005,IT*2ZG*ESCAME212*1
AVAILABLE,45.5919925,12.0438005,IT*2ZG*ESCAME212*2
AVAILABLE,45.5919925,12.0438005,IT*2ZG*ESCAME212*3
AVAILABLE,45.5919925,12.0438005,IT*2ZG*ESCAME212*4
AVAILABLE,44.9940592,9.0056848,IT*2ZG*ESCH02*1
AVAILABLE,44.9940592,9.0056848,IT*2ZG*ESCH02*2
AVAILABLE,44.9902226,9.0087914,IT*2ZG*ESCH03*1
AVAILABLE,44.9902226,9.0087914,IT*2ZG*ESCH03*2
